|id|date|message
0|620427|2020-07-03|Похоже началось восстановление.
1|620426|2020-07-03|"Шёпот с дальних берегов внемлет: ""Обувь России - покупать. Цель - 50, 78, 82, далее 91 и до 94. Срок - декабрь 2020-октябрь 2021""."
2|620425|2020-07-03|"🛢СПРОС НА СПГ ОСТАЕТСЯ СИЛЬНЫМ ДАЖЕ ВО ВРЕМЯ ПАНДЕМИИ. #макро

Вот какая ситуация на рынке СПГ:
• В мае в Китае вырос импорт СПГ на 21% г/г. Значительная часть роста пришлась на вытеснение трубопроводного газа. Китай продолжает оставаться одним из главных драйверов роста спроса на СПГ в мире.

• В Индии импорт за июнь вырос на 10.6% г/г по предварительным данным. Это несмотря на тяжёлую ситуацию с вирусом в стране. Аналитики S&P Platts отмечают также сильный спрос в Индии на поставки СПГ во 2-м полугодии и поддержку СПГ со стороны правительства.

• В мае импорт СПГ в Европу вырос на 12% г/г. Таким образом в Европе продолжается тренд на увеличение спроса на экологичные виды топлива. В моменте Европа пользуется развитой инфраструктурой по хранению СПГ, чтобы купить дешёвое топливо.

• В Японии в мае импорт СПГ снизился на 18.9% г/г. Япония на данный момент является крупнейшим импортёром СПГ, однако её потребление стабилизировалось и от Японии не ожидается в ближайшие годы серьёзного вклада в рост потребления СПГ. Текущее снижение импорта связано с временным снижением потребления на фоне карантинов.

Суммарный импорт СПГ с начала года вырос на 5.1%. Ключевые растущие рынки продолжают расти, зрелые рынки испытывают временное падение. В целом в 2020 году ожидается спрос на уровне 2019 года с продолжением роста с 2021 года.

@AK47pfl"
3|620420|2020-07-03|"​​🇷🇺 ЗАМКНУТЫЙ КРУГ: ОТ БЕЗРАБОТИЦЫ ЧЕРЕЗ ПАДЕНИЕ СПРОСА К БЕЗРАБОТИЦЕ. #макро

Безработица и снижение зарплат, падение потребительского спроса - проблемы для экономики в целом. За время кризиса в России уволен каждый пятый, количество жалоб в трудовую инспекцию выросло вдвое. Роструд заявляет, что 32% жалоб связано с увольнениями, еще 30% связано с задержкой или невыплатой заработной платы (см. график).

С 1 апреля по 20 июня уволено более 3.5 миллионов человек. Текущий кризис разительно отличается по поведению работодателей: компании начали массово увольнять против снижения зарплат ранее. По данным HeadHunter, в среднем под сокращение попало около 20% персонала в компаниях, 56% опрошенных компаний сократили зарплаты, а в среднем фонд оплаты труда сократился на 28%.

Проблема безработицы сама себя воспроизводит: увольнения и снижения заработных плат приводят к снижению потребительского спроса, что перетекает в новые увольнения и снижения заработных плат и так далее. Кроме того, неопределенность в экономике приводит к тому, что люди начинают больше сберегать и это дополнительный удар по потребительскому спросу

@AK47pfl"
4|620418|2020-07-03|Вот вы сами нарвались, это краб обиделся на нас, за выборы..
5|620417|2020-07-03|Там сам Дьявол бы воровал
6|620416|2020-07-03|И неумеем главного
7|620415|2020-07-03|Воровать он захотел 👍
8|620414|2020-07-03|Столица
9|620413|2020-07-03|😂
10|620412|2020-07-03|WWWclubHero тебе поможет
11|620411|2020-07-03|Вам вебинар, вы регионы?
12|620410|2020-07-03|Научи воровать
13|620409|2020-07-03|Рубль поплыл
14|620408|2020-07-03|бакс то как рванул, опять пиндосы нас сссанкционируют? вчера для приличия потоптался денек
15|620407|2020-07-03|Воровать эффективнее надо
