|time|user|text
1|23.06.2019 19:55:03|Soa|это слабое утешение
4|23.06.2019 19:56:08|Soa|Очень редки случаи когда ежемесячный гемор облегчает обслуживание долга эмитенту
7|23.06.2019 20:03:36|Даниил Иванов|Лучше конечно проспект прочитать
8|23.06.2019 20:04:06|Soa|умно
9|23.06.2019 20:04:13|Даниил Иванов|Там все подробно написано
11|23.06.2019 20:05:17|Даниил Иванов|Это видимо CBOM24 EU, не суборд
12|23.06.2019 20:05:31|Alec|XS1951067039
14|23.06.2019 20:10:32|Даниил Иванов|Да, теперь все в порядке. Спасибо
15|23.06.2019 20:14:43|Alec|
16|23.06.2019 20:21:09|Dmitry Manzor|Их много, БКС и ВТБ в частности
17|23.06.2019 20:21:23|Евгений Инвестор|ВТБ точно. Сбер тоже, помоему. Уралсиб.
20|23.06.2019 20:25:54|Soa|а вот если депозитарноую комиссию не берут..что с этим брокером не так Не задумывались
21|23.06.2019 20:26:12|Евгений Инвестор|У Уралсиба есть какаято комиссия за ИИС. 400 в месяц, что ли.
22|23.06.2019 20:26:48|Виталий Яковлев|Найдешь  сигнализируй. Тоже хочу такого брокера. У Цериха комиссия 200 руб. За вывод.
23|23.06.2019 20:26:50|Soa|а вдруг на чем то другом компенсируют, осебенно когда дело касается такого монстра как Сбер..
24|23.06.2019 20:27:37|Евгений Инвестор|150/105 у ВТБ это за месяц, в котором были сделки. Неважно, 1 бумагу купили, 3 или 100.  комиссия с оборота, конечно.
25|23.06.2019 20:29:17|Soa|ну значит и купить вам дадут репуемые бумажки
27|23.06.2019 20:30:27|Евгений Инвестор|Странно. Потому что я помню в QUIK Уралсиба стаканы многих ВДО. ЛомбардМастер, Талан, ММЦБ...
28|23.06.2019 20:30:47|Soa|вот же... Зато можно гордится что на депо экономим..
29|23.06.2019 20:30:55|Евгений Инвестор|А, 36 штук, не наименований. Тогда да, хочется без депозитарной комиссии.
30|23.06.2019 20:32:29|Soa|квик то дают
32|23.06.2019 20:37:02|Евгений Инвестор|А у Сбера нет деп. комиссии по конец августа, если на счёте есть акции или облигации Сбера.
34|23.06.2019 20:37:50|Soa|я думаю всем известно где искать дешовый сыр...
35|23.06.2019 20:38:19|Евгений Инвестор|С таким подходом надо идти к самым дорогим брокерам. Из принципа.
36|23.06.2019 20:38:46|Soa|есть разумные и взвешенные решения
37|23.06.2019 20:40:31|Sergey K|Гарантирую. Выводит.
38|23.06.2019 20:41:10|Евгений Инвестор|Спасибо, нелишне знать 
40|23.06.2019 20:57:38|Sergey Sidorov|Вот табличка популярности брокеров.
42|23.06.2019 21:32:51|Oleg Egorov|Если я правильно помню  не могут выселить на улицу , если есть дети и идет отопительный сезон. Но банк всегда может купить комнату/комнаты в клоповнике чтобы только в нормы кв/м на человека уложится и загнать туда, если не можешь рассчитаться.
43|23.06.2019 21:33:45|Harry Lime|Это старший долг и он уже на 1,5 подорожал на мосбирже с начала торгов.
44|23.06.2019 21:33:49|Evgeny Naumov NFK|По ипотеке ограничений нет, можно выселить кого угодно в любое время теоретически.
45|23.06.2019 21:36:53|Harry Lime|Мне нравятся месячные купоны на ИИС. Можно потратить , можно реинвестировать , полная свобода. Сумма несколько тысяч с эмитента невелика , но и не совсем копейки.
46|23.06.2019 21:39:33|Dmitry Manzor|Ежемесячный купон позволяет мне почаще почувствовать вкус денюжек и добрать бумагу без нкд или продать
47|23.06.2019 21:39:36|Evgeny Naumov NFK|К тому же вопрос выселения  это не вопрос банка, а вопрос исполнительного производства, то есть судебных приставов.
48|23.06.2019 21:40:51|Тим Тим|Хренс сдва, банку пофиг, хоть с детьми, хоть с котятами, ничего он не обязан.... он хату продает, если что осталось после выплаты процентов и основного долга, отдаст, но практика показывает, что ничего не остается..банки хорошо дружат с нужными людьми занимающимися вот такими ипотечными квартирами...
49|23.06.2019 21:43:50|Harry Lime|Да , там годовой купон , оооочень долго ждать.
51|23.06.2019 21:45:59|Dmitry Manzor|Деньги получается блокируются в бумаге
52|23.06.2019 21:48:33|Harry Lime|Шо за кидок
53|23.06.2019 21:49:49|Soa|Каким образом нкд
54|23.06.2019 21:50:53|Максим Кочнев|Ну втб я никого не знаю кто ждал полчаса. Максимум Елена писала про 23 мин, у меня личный максимум 14 мин и все это во время ожиотажа с юнисервис ом
55|23.06.2019 21:51:10|Soa|Дайте мне бумажку с купоном раз в 10 лет, но доху и надежность повыше
56|23.06.2019 21:52:36|Denis Kozlov Septem|Полчаса  это успех. Тут пара коллег могут рассказать, как они вообще не смогли поставить заявку на первичке через Сбер  два часа никто не отвечал, только музыка, а потом время для заявок вышло
57|23.06.2019 21:52:48|Soa|Народ, льгота рано или поздно кончится и налоги мы будем платить со всех купонов кроме офз. Как это и было..
58|23.06.2019 21:53:12|Замполит Aleks Kib|Странно, я в БКС с Кипра ждал 1 неделю, единственно попросили ещё им скан выслать подписанного лично мною поручения
59|23.06.2019 21:54:32|Soa|А разве вы не понимали куда шли идя на КИПР
60|23.06.2019 21:55:25|Замполит Aleks Kib|Я в смысле, что ждал не месяц, как товарищ пишет, а 7 дней
61|23.06.2019 21:55:38|Сергей Ковалев|по моему же ее продлили
62|23.06.2019 21:55:47|Замполит Aleks Kib|65 тыс.
63|23.06.2019 21:55:52|Soa|Коогда Не в курсе
64|23.06.2019 21:57:23|Сергей Ковалев|я не помню но кто то говорил что продлили или Гарри или ещп кто то
65|23.06.2019 21:58:03|Sergey Sidorov|Вроде бессрочная льгота по корпоратам 2017 пока. Но ее могут отменить, это да.
66|23.06.2019 22:01:48|Soa|в 2020 г посмотрим что скажут..
67|23.06.2019 22:02:50|Harry Lime|Бессрочная льгота ,ст 214 нк
68|23.06.2019 22:02:58|А что ты сделал для котэ!?|Почему вы так считаете
69|23.06.2019 22:03:38|Soa|пока просто ограничение по декабрь 2020 сняли ... это не значит что не введут...
70|23.06.2019 22:03:43|Сергей Ковалев|интересно, бывали случаи отмены статей нкрф
71|23.06.2019 22:03:55|Soa|Просто вопрос открытый..
72|23.06.2019 22:03:58|Harry Lime|Постоянно , новый закон и все меняют
73|23.06.2019 22:04:28|Soa|А ндс никогда не меняли на вашей памяти
74|23.06.2019 22:04:33|Harry Lime|Скажем так , пока ограничения нет
75|23.06.2019 22:04:42|Soa|именно..
76|23.06.2019 22:06:39|Sergey Sidorov|2020 будет богат на позитив Льготу отменяют, 4К водят Шеф все пропало
77|23.06.2019 22:07:38|Сергей Ковалев|ндс меня пока никак не касался
78|23.06.2019 22:07:54|Soa|не уверен
80|23.06.2019 22:27:01|Елена Филякина|Ничего, вернётся будет сильнее
81|23.06.2019 22:32:20|First Last|О да, это было гениальное размещение. После второго отлупа на уровне ОПСОСа, по таймауту. Я успел перевести деньги в открывашку и купить там. Но это был единственный случай, когда режим был не z0. В z0 все четко прямо в квике
82|23.06.2019 22:35:29|Евгений Инвестор|А вы тут всё про какието 15 годовых 
84|23.06.2019 22:40:42|А что ты сделал для котэ!?|Найдите страну с меньшими налогами
85|23.06.2019 22:41:32|Елена Филякина|Да, и это было 1 раз, обычно не более 5 минут. Там же просто именно в отведённые 30 минут нужно было уложиться. Зато потом тебя с полувздоха понимают. И купоны день в день.
86|23.06.2019 22:44:02|Сергей Ковалев|
87|23.06.2019 22:44:50|Алексей ayaye :)|и это еще без галочки налоговые льготы
88|23.06.2019 22:52:17|Елена Филякина|До слез это чья рекомендация
89|23.06.2019 22:53:06|Евгений Инвестор|Это на сайте Сбера.
90|23.06.2019 22:53:42|Дмитрий Адамидов|сбер знает как возбудить интерес
91|23.06.2019 22:58:10|Sergey Sidorov|Тинькову с Грузовиком есть к чему стремиться. Опять их Оскарович обштопал
92|23.06.2019 22:59:56|Елена Филякина|До того как открыть ИИС в ВТБ, я же изначально в сбер обратилась. Но уж больно мне там все красиво расписали, примерно как на картинке. Подробности уже не вспомню, но помню одно, что решила сама изучить вопрос не торопясь.Просто при ТАких райских возможностях описанных менеджером в СберПремьер я не видела толпы в очереди.
93|23.06.2019 23:00:30|Евгений Инвестор|А если были бы толпы, то какое было бы решение
94|23.06.2019 23:03:38|Елена Филякина|Да мне пофиг на толпу я же знаю как ее создать  работа такая. Просто при расписанных райских кущах должна была быть очередь из пенсионеров.
95|23.06.2019 23:04:40|Soa|Ну за предыдущие 68 месяцев офз показали достойную доходность
98|23.06.2019 23:11:09|Екатерина|Если миг кредит возьму в 2 раза меньше от заявки, интересно, как в таком случае исполнят заявку или нет
100|23.06.2019 23:13:38|Елена Филякина|Особенно в тот момент, когда нерезиденты из них побежали.
101|23.06.2019 23:14:19|Soa|Моменты нужно выбирать, и желательно те в которые нерезы прибегают
102|23.06.2019 23:14:23|DIM|Оч странно, что с учётом налога такой процент получается, какой алгоритм заложен
103|23.06.2019 23:14:55|Soa|головой не только едят
104|23.06.2019 23:16:07|Елена Филякина|Ей конечно еще и пить можно, но это обсуждаем в другом чате.
105|23.06.2019 23:17:41|Soa|А вот мужчины лишены еще одной функции, в вашем контексте
106|23.06.2019 23:19:59|Alex Petroff|К.С.5 твое. Налог 35 от того, что выше.
107|23.06.2019 23:20:30|Harry Lime|Это новая бумага , тем более МФО , никто не знает , как она себя поведет . Может легко дать АПРИ на пару процентов вниз , выпуск очень большой.
108|23.06.2019 23:21:56|Екатерина|Понятно, спасибо
109|23.06.2019 23:22:12|Harry Lime|Вообще не очень хорошая практика брать больше , чем позволяет твой рискменеджмент , если он вообще есть
110|23.06.2019 23:22:21|Алексей|На иис типа б тоже есть налог
111|23.06.2019 23:22:30|Harry Lime|Да
112|23.06.2019 23:22:30|Alex Petroff|Народ может не понять Дать АПРИ  снизиться на размещении, т.е. немного дать дуба
113|23.06.2019 23:23:12|Harry Lime|Ну я на второй Кармани смотрю , так что будьте готовы ко всему
114|23.06.2019 23:24:01|Soa|Любое крупное размещение в нашем секторе имеет такие риски..
115|23.06.2019 23:24:44|S.P.|Мне кажется мелкие выпуски ещё опаснее. Они ещё менее ликвидные
116|23.06.2019 23:24:50|Soa|Что впрочем дает возможность прикупить по лучшей цене
117|23.06.2019 23:24:54|Harry Lime|Есть вероятность , что начнется литье в биды до определенного уровня. Есть опасения.
118|23.06.2019 23:25:10|Alex Petroff|К этому списку присоединились локально Пионер2 и ОнлМкф. Потому что многие захотели принять участие в триаде Юнисервиса. А теперь еще и в МигКредите. Жаркое лето 2019го...
119|23.06.2019 23:26:15|Harry Lime|ОнлМкфн , там по крайней мере связка эмитенторг уже отработана , сразу было ясно , что литья по 98 не будет. Тут я бы не зарекался .
121|23.06.2019 23:29:47|S.P.|Все свои будут одновременно лить. На то они и свои
122|23.06.2019 23:29:56|Soa|именно, а тут бумага выходит далеко за рамки
123|23.06.2019 23:30:22|Harry Lime|Не стоит недооценивать солидарность держателей
124|23.06.2019 23:31:01|S.P.|Принцип кто первый встал того и тапки никто не отменял.
125|23.06.2019 23:32:37|Harry Lime|Пока никто никуда не сбегал , друг другу не мешал.
126|23.06.2019 23:33:27|S.P.|Не было необходимости. Главное помнить последние слова трейдера такого я ещё не видел.
127|23.06.2019 23:34:39|Harry Lime|Вот для этого и нужны истории типа Миг Кредит, чтобы максимально выйти из парадигмы ЮнисервисСептемИволга.
128|23.06.2019 23:35:50|Антон|Гарри, на чём опасения у вас 
129|23.06.2019 23:36:12|Harry Lime|Увидеть Миг по 98 через месяц
130|23.06.2019 23:36:38|Антон|Не не, я про то, что вы этого опасаетесь. Почему 
131|23.06.2019 23:37:43|Harry Lime|Выпуск большой , есть вероятность , что спрос будет не очень и начнется литье в биды. Много размещений , много опасений.
132|23.06.2019 23:38:21|Антон|Ясно, пасиб
133|23.06.2019 23:39:31|S.P.|Думаете организатор выкупит на себя недоразсюмещенный объем и потом будет выходить
134|23.06.2019 23:39:56|Harry Lime|А когда бывало по другому с такими об,емами
135|23.06.2019 23:40:32|S.P.|Интересная мысль. Понаблюдаем
136|23.06.2019 23:40:38|Антон|Тогда схема такая. Берём на размещении по 100. Смотрим состав исполненных заявок. Если есть история, похожая на микрофинанс с парой крупных сделок, выходим по 100. Входим позже, на проливах подбирая понемногу
138|23.06.2019 23:42:00|S.P.|Если предположить что спроса будет недостаточно проще сразу на вторичке подобрать
139|23.06.2019 23:42:32|Harry Lime|Микрофинанс были понятны повадки организатора. Может положить плиту по 100. Но лить по 98 не будет. Весь опыт размещения Манимена об этом говорит. Очень качественно работают.
140|23.06.2019 23:42:46|Антон|Но это предположение. Оно может оказаться не верным, и тогда цены по 100 не будет...
141|23.06.2019 23:43:52|Harry Lime|Вон ДД на размещении загнали на 102,5. Всякое бывает.
142|23.06.2019 23:44:04|Антон|Именно
143|23.06.2019 23:45:27|Harry Lime|Поэтому берем сколько не страшно и смотрим. Будет около номинала  надо смотреть на стакан. У ОМ мне он больше нравится , чем в Кармани. Но это дело вкуса.
144|23.06.2019 23:47:59|Екатерина|Ломбард 6 в июле размещение
145|23.06.2019 23:48:07|nik|Нет
146|23.06.2019 23:48:50|Антон|Я тоже этого не припоминаю. Ок, завтра будем смотреть, что получается по этому эмитенту
147|23.06.2019 23:49:02|Harry Lime|Скорее всего
148|23.06.2019 23:50:24|Антон|Коллеги, не знаете, что означают буквы МС у размещаемых бондов мига БО01МС
149|23.06.2019 23:51:28|Harry Lime|У ДД в лучшие времена стакан был шикарный , вообще без проблем любым сайзом , как депозит его использовал с апреля по сентябрь 2018.
150|23.06.2019 23:51:33|S.P.|Вообще надо бы провести небольшое исследование на предмет влияния на цену мусорных облигаций выхода нового эмитента. Проседают ли старые выпуски и на сколько или же приток новых денег находится на одном уровне
151|23.06.2019 23:52:40|Harry Lime|Молись скорее Может слиться
152|23.06.2019 23:53:12|Антон|Мама, спаси
153|23.06.2019 23:55:24|Harry Lime|Мгновенная смерть
154|23.06.2019 23:56:08|Alex Petroff|Да тут без исследования все на пальцах понятно. Наиболее твердые, либо интересные эмитенты оттягивают на себя кэш из других на размещении. Ситуация не новая. В этом году так было несколько раз. Одни и те же грабли.
155|23.06.2019 23:57:26|S.P.|Интересно было бы увидеть цифры. Это же отличный инсайд
156|23.06.2019 23:57:36|Harry Lime|Но вы только подумайте , какой штиль разразится после всей этой мясорубки
157|23.06.2019 23:57:58|Елена Филякина|Схема интересная, но за счет кого выходить будем
158|23.06.2019 23:58:24|Антон|Завтрашний день покажет
159|23.06.2019 23:59:37|Елена Филякина|Да каждое последнее размещение интрига
161|24.06.2019 00:01:33|Harry Lime|Позволю себе предположить , что а попадание размещений в один временной диапазон не позволило уронить ставки , в том числе и после оферт б запас эмитентов у организаторов кончается.
162|24.06.2019 00:04:23|S.P.|Думаю эту гипотезу можно легко проверить. Вся статистика в открытом доступе цены облигаций, объем торгов, даты размещений. Нет статистики по притоку людей инвестирующие в мусорные бонды. И на сколько данный приток равномерен. Можно все просчитать при желании
163|24.06.2019 00:04:48|Harry Lime|Тот же Юнисервис говорил о 4х эмитентах , кроме КистеТаксоГрузотрио . Значит в запасе от силы 2 , Ламбумиз и Юниметрикс мы теперь знаем.
165|24.06.2019 00:08:54|S.P.|Зная эту информацию можно просчитать оптимальную точку входа и выхода, а так же понимать за какой период времени цена возвращается обратно по эмитентам из которых люди выходили.
166|24.06.2019 00:19:43|Александр Нечаев|А не сохранилось наработок Открытие шикарно позволило снизить налог. Но попытка самостоятельно через квик создать таблицу подобных бумаг завершилась неудачно.
167|24.06.2019 00:21:54|DIM|А как определяете
168|24.06.2019 00:41:46|Владимир Тутынин|А если ещё с амортизацией 
169|24.06.2019 00:44:04|DIM|А я не оч люблю с амортизацией облиги, просто часто бумаги держу в разрезе года а тут получается уже через короткое время возврат частичный будет по номиналу
170|24.06.2019 00:44:59|Владимир Тутынин|Инвесторы уже даже не пытаютс подать заявку голосом.
171|24.06.2019 00:48:01|DIM|Ну не полчаса, в втб максимум было 5 минут, это максимум а так в среднем 2 минуты ожидания
172|24.06.2019 00:57:07|Владимир Тутынин|Дак из солидарности и побегут
174|24.06.2019 03:29:00|Serge R.|А зачем тебе каждый месяц туда нырять У меня сравнимо в месяц чуть больше Захожу раз в квартал. Между заходами деньги лежат на карте, под 7... И да, ВТБ. 105 руб.
176|24.06.2019 06:12:56|Lizardking0808|Друзья, кто спрашивал про вдо в уралсибе У меня абсолютно все вдо там, свободно торгуют, комис 400р по иис отменили, действует прежний тариф, без депозитарки. Вывод купонов с иис без проблем
178|24.06.2019 06:27:12|Ansat|Включая адресные сделки при размещении
179|24.06.2019 06:36:02|Lizardking0808|Про это не знаю
181|24.06.2019 07:12:03|Alexey Vishnyakov|Долго было только в кисточка  8 или 9 минут. Но я так и предполагал  все должны были подать заявку в течении 20 минут. С грузовиком минуты 2  3.
182|24.06.2019 07:23:00|Deleted Account|посмотрел на русбондсе выпуск. так они когда размещали была ставка 13,25 ЦБ в 2017 году был 9. Я думаю инвесторы не очень сейчас такой ставке рады, но КО не ликвидные же, не продать просто так  Хотя может быть если эмитент уровня Магнита  то ставка вообще супер 
183|24.06.2019 07:31:47|Шура SiberianRanger|
184|24.06.2019 07:50:39|Savel|Зачем кормить брокера
186|24.06.2019 07:53:49|Harry Lime| USD интервенции валютныевойны мнение BofA доллар сейчас переоценен и текущий курс на 13 выше эффективного реального обменного курса. США могут девальвировать доллар. Если перехода ФРС к стимулирующей политике снижение ставок будет недостаточно, возрастает вероятность формального валютного вмешательства. Казначейство может отдать соответствующее распоряжение Федеральному резервному банку НьюЙорка. Тот может начать продавать доллары и покупать другие валюты, чтобы оказать давление на курс.
187|24.06.2019 07:54:03|Harry Lime|Разделяю эту логику.
188|24.06.2019 07:56:29|Harry Lime|Долларовый депозит можно открыть в 23 из существующих 29 банков республики. В большинстве банков ставки по валютным вкладам остались на прежнем уровне и варьируется в пределах 57. Самую высокую ставку в 7 годовых предлагают четыре банка  Orient Finans Bank, Туронбанкт, Universal Bank и Ziraat Bank Uzbekistan. Для открытия вклада достаточно иметь от 100 до 500. Некоторые банки не устанавливают ограничения на первый взнос. Средний срок самых доходных депозитов составляет 12 года. При закрытии клиентом вклада раньше срока проценты не выплачиваются. Однако, в некоторых банках проценты пересчитываются по более низкой ставке, если с момента открытия вклада прошло определенное время. Деньги на депозит в иностранной валюте в основном принимаются в долларах США, лишь Кишлок курилиш банк принимает на все вклады также евро и фунты стерлинги. Некоторые банки предлагают отдельные вклады в евро, но их доходность зачастую ниже.
189|24.06.2019 07:57:07|Harry Lime|Остро не хватает Кишлок Курилиш банка с депозитом в евро под 5. Доставляют вклады в фунтах , видимо колониальное наследие крепко.
194|24.06.2019 08:13:55|AngelicScale|Спрашивать знакомых энергетиков, слышали они про такое или нет . Мои знакомые не слышали, но я живу в глуши, так что не показатель
195|24.06.2019 08:15:14|Harry Lime|В словосочетании покупать другие валюты я могу представить евро , с натяжкой франк и йену. Но не юань же с рублем. Да , песо забыл .
196|24.06.2019 08:16:35|Serge R.|Брокер, выводящий доход на карту  не Только телодвижений больше... Но все равно, такая сумма под 7 за квартал отбивает как раз депозитарку. Уже не мертвый груз, но в ноль
197|24.06.2019 08:18:51|Harry Lime| riskoff qeqt мир бонды акции дивергенция макро мировые акции VS мировые бонды
198|24.06.2019 08:19:08|Harry Lime|Бонды начинают и выигрывают
200|24.06.2019 08:26:25|Lizardking0808|Депозитарки нет ни на иис, ни на брокерском. Вдо есть все, полноценный стакан. В хорошем смысле
201|24.06.2019 08:35:48|DIM|Коллеги, подскажите вторая половина июля и особенно август ожидаются ли новые размещения
202|24.06.2019 08:41:42|Harry Lime|Будет великая сушь
203|24.06.2019 08:42:39|DIM|Печалька, бабло куда вводить тогда
204|24.06.2019 08:43:08|Harry Lime|Потратить на отпуск и тд
205|24.06.2019 08:43:16|DIM|Пионер уже не вариант, там ставка снижается
207|24.06.2019 08:44:00|Harry Lime| уголь россия Цена российского энергетического угля на европейском рынке упала до минимальной с июня 2016 г.  47 за 1 т на условиях FOB Рига. Это ниже уровня безубыточности российских угольных компаний.  Ведомости  Угольные компании начали сокращать годовые планы по добыче на фоне резкого падения цен на европейском направлении экспорта.  Ъ
208|24.06.2019 08:44:11|Harry Lime|Мечел , мы тебя заждались
209|24.06.2019 08:44:19|DIM|Как думаешь, бакс до 60 просядет Думаю если просядет в него зайти и в еврооблигации
210|24.06.2019 08:45:05|Ирина|Прикольно читать такие новости живя в Кузбассе И половина знакомых работает на шахтах
211|24.06.2019 08:45:49|Harry Lime|Неправильная логика . В еврооблигации нельзя заходить на низком курсе доллара , потлм будет больно , тк цены на бумаги упадут , доллар вырастет , то есть попадаешь и на падение бумаг и на валютную переоценку. Прошли уже не раз.
212|24.06.2019 08:45:50|DIM|Печально, опять простые прежде люди страдать будут, опять задержки в зп и тд и тп
213|24.06.2019 08:46:15|Harry Lime|Простые люди ждут Мечел пописят.
215|24.06.2019 08:47:29|DIM|Те бакс покупать, но сидеть выжидать роста бакса, чтобы стоимость евро облигаций понизилась при росте валюты Ну те логика точно такая же как и с рублём, дешевеет рубль, растёт офз и наоборот
217|24.06.2019 08:48:45|Harry Lime|Можно , но можно и дождаться ибо сам Костин говорил , что Мечелу может потребоваться капельница , тьфу реструктуризация.
218|24.06.2019 08:50:41|Denis Kozlov Septem|Что за головная компания
219|24.06.2019 08:50:41|Harry Lime|Можно покупать госы  там нет переоценки и парковать в них. Могут снизиться , но это сознательный риск либо рус28 , либо матрас , нет выбора особо.
220|24.06.2019 08:55:30|А что ты сделал для котэ!?|А фунт
221|24.06.2019 08:56:32|Harry Lime|Кстати да , дед же поддерживает движуху с Брекзитом
