|time|user|text
2|08.02.2018 13:11:09|Дмитрий Адамидов|Коллеги, что значит супергруппа, я не очень понял, но теперь у нас есть адрес  https//t.me/chat_angrybonds
3|08.02.2018 17:49:25|Дмитрий Адамидов|да и еще техническое объявление если в посте в канале не в чате видите тэг продвижение  это реклама. Или ВП Просьба отнестись с пониманием в чате просьба ничего не рекламировать  здесь хочется чтобы действовало правило кто что думает, то и говорит
4|08.02.2018 17:51:57|Kirill Malev|что история доступна вновьвступившим
5|08.02.2018 17:52:13|Дмитрий Адамидов|ну и нам нечего скрывать
7|08.02.2018 17:52:16|Kirill Malev|и что размер увеличен, что можно свои сообщения для всех стирать ещё вроде бы
10|08.02.2018 17:53:05|Дмитрий Адамидов|а уже по моему поздно  нельзя обратно сделать
14|08.02.2018 17:54:04|Дмитрий Адамидов|ааа спасибо
17|09.02.2018 08:05:33|А что ты сделал для котэ!?|Чо народ думает протпоследние выпуски бондов голубых фишек  роснефть, русгилро с 7.5 купоном Имхо, проще офз купить
18|09.02.2018 08:15:16|Иг|Проще русгидро купить
19|09.02.2018 08:17:18|Harry Lime|Моя логика такова , если покупать всякий высокодоходный трэш, то страновые и валютные риски ему нипочём куда уже хуже, трэш оговорюсь сразу трэшу рознь, если вы покупаете низкодоходные длинные облиги будьте готовы к принятию странового и валютного рисков. Если план сидеть до погашения  дерзайте. Если затрясет и Вите надо выйти  будет больно.
20|09.02.2018 08:33:25|Sergey|Что думаете про региональные бонды, балансирующие на грани перехода под внешнее управление
22|09.02.2018 08:35:20|Harry Lime|Когда Медведев произносит фразу реструктуризация долга регионов меня прям трясет, накаркает же в конце концов
23|09.02.2018 08:40:32|Sergey|Чтото и меня затрясло
24|09.02.2018 08:42:06|Harry Lime|Я считаю надо запретить законодательно такое говорить рефинансирование, снижение долговой нагрузки, но слово реструктуризация должно быть под запретом.
25|09.02.2018 08:43:00|Sergey|Надеюсь не под 0.1, а хотя бы под 0.1 и гектар в нагрузку на Дальнем Востоке каждому держателю
