|time|user|text
1|20.12.2019 20:39:53|angry bonds|Облигационеры детективы тем временем зря время не теряли, и пока чат ждал оферты от Деникола трудились в поте лица, выясняяя ху из Криалэнергострой Ниже публикую их отчет без купюр  İldar Rafikov, 20.12.19 2015 Добрый вечер. Сегодня посвятил половину дня Криалу. Фотоотчёт на гугл диске. Пояснения по каждому фото позже обещал дать Расим. Общее впечатление Субъективно, без изучения отчетов На Фрод конечно не похоже от слова совсем. Ребята очень увлечены своей темой. Организация очень на хорошем уровне. Миссия, ERP, стандарты качества, техника безопасности, инновации, молодая амбициозная команда, серьезные контракты. Можно спорить о финотчетности, но то что не предать цифрами, а именно энергия компании, она присутствует. Желаю всех благ землякам. Ссыль на фото https//drive.google.com/openid1TXHbg06APoA3MYe10o5DF8eXEeB7ugm_
2|20.12.2019 23:39:22|angry bonds|Срач при Дэникоме  именно так можно охарактеризовать то, что творилось в сообществе последние три недели. Ничуть не менее мощный движ чеминстраграмм леди Гаги, но вообщето в процессе было не до смеха. Эмитент в лучших традициях голливудского триллера объявил оферту в последний момент, когда в мою дверь уже ломились разъяренные облигционеры. Но расправы не случилось, оферта пришлась как нельзя кстати. Теперь осталось её только исполнить, чего от всей души и хочется пожелать эмитенту. Надеюсь он справится. Если говорить в целом, то причиной возникшей сиутации стала тотальная неготовность к резким поворотам назовем это обтекаемо конъюнктуры. И эмитент, и организаторы, и сами инвесторы неколько растерялись, начали импровизировать и порой совершать неадекватные поступки. Но с другой стороны, стало понятно над чем надо работать. Мы, например, с Ихъ Сиятельством со своей стороны намерены с нового года запустить обновленную аналитику сделаем  белую книгу по нашим эмитентам и будем на её основе проводить разные иссследования и эсперименты чуть не сказал  опыты, но вовремя осекся Да и сайт надеюсь реанимируем. Также в январе будет второй этап проекта стастистика ВДО. А старику Хохрину мы наконецто подобрали достойного спаррингпартнера и с 25 декабря у нас стартуют гонки на портфелях. Причем в концептуальном формате  рублевые ВДО соревнуются с валютными. И пусть в гонке победит ктонибудь с приличным, но не запредельным отрывом. В общем, следите за программой передач
4|21.12.2019 14:58:27|angry bonds|Еще раз про Дэником но уже с прессрелизом 
5|21.12.2019 14:58:27|angry bonds|ООО ДЭНИ КОЛЛ объявило оферту и выпустило официальный релиз по этому поводу. Публикуем его для подписчиков канала BONDYBOX ООО ДЭНИ КОЛЛ бренд DANYCOM объявляет о начале проведения мероприятий по поддержке рынка собственных облигаций, предусматривающих их досрочный выкуп у инвесторов buyback по номинальной стоимости. Общий объем выкупа может составить до 1 млрд рублей. Дополнительно к цене приобретения будет выплачен накопленный купонный доход, рассчитанный на дату приобретения биржевых облигаций. В качестве первого шага ООО ДЭНИ КОЛЛ объявил о выкупе на общую сумму до 100 млн рублей. Срок предъявления облигаций  с 9 по 16 января 2020 года включительно. Дата выкупа ценных бумаг назначена на дату выплаты второго купона по облигациям  21 января 2020 года. Агентом по приобретению облигаций назначено ООО УНИВЕР КАПИТАЛ. Решение о сроках и объемах выкупа в рамках следующих оферт будет принято исходя из итогов сбора заявок на первую оферту 21 января 2020 года. Дополнительная информация будет раскрыта в соответствии с условиями эмиссии и требованиями законодательства РФ. DANYCOM успешно инвестировал полученные в результате эмиссии облигаций денежные средства в бизнес, расширив территориальное присутствие мобильного оператора в России. Это позволило повысить рентабельность нашего основного бизнеса  SMSагрегации. Мы решили использовать эти резервы для выкупа облигаций с рынка в интересах наших инвесторов в рамках публичных оферт,  отмечает Екатерина Шмырина, генеральный директор ООО ДЭНИ КОЛЛ. Приобретение биржевых облигаций будет осуществляться путем заключения сделок куплипродажи на торгах, организуемых ПАО Московская биржа в соответствии с правилами проведения торгов на фондовом рынке. https//www.edisclosure.ru/portal/event.aspxEventIdfuhXcViICEyuzddmGCLEIABB
7|22.12.2019 20:14:14|angry bonds|ПРЕДУБЕЖДЕНИЯ В ИНВЕСТИЦИЯХ. Делать выводы на основе последних данных Мы имеем склонность к формированию необоснованных выводов на основе небольшого количества данных. Например, вы можете наблюдать успешных видеоблогеров, которые зарабатывают большие деньги, не прилагая видимых усилий. Не рассматривая всю совокупность людей, попробовавших себя в этом деле и потерпевших неудачу, мы в своей голове формируем неверные вероятности осуществления тех или иных событий и решаем завести блог на Youtube, значительно переоценивая свой потенциал. Обвал курса рубля последних лет может привести к выводу, что сбережения нужно держать исключительно в иностранной валюте. Однако, если вы расширите диапазон анализа до 1015 лет, то обнаружите, что депозит в рублях принес доходность значительно выше, чем в долларах или евро даже с учетом изменения курса. Следствием неверной оценки вероятностей является принятие плохих инвестиционных решений. Мы часто даем нерационально большой вес последней информации, не видя глобальной долгосрочной перспективы инвестиционной стратегии. Например, многие выбирают управляющего по доходности за последний год или по доходности, которую он вам предъявил, что является кошмаром с точки зрения принятия решений. Исследования показывают следующее  только 16 из пяти лучших по доходности инвестиционных фондов оказываются в лидерах на следующий год.  доходность пяти лучших фондов будет на 15 ниже в следующем году.  21 из пяти лучших фондов по доходности в течение следующих 10 лет прекращают своё существование. Устранить это предубеждение можно, набрав как можно больший объём полезных данных об объекте инвестирования, не ограничиваясь статистикой за последний период. В случае выбора управляющего, гораздо важнее последних доходностей является его философия, принципы и подход к инвестированию. Важнее видеть за счёт чего он может обыграть рынок в дальнейшем, чем за счёт чего ему удалось это сделать в последний год.
8|22.12.2019 20:15:33|angry bonds|Полностью солидарны 
10|23.12.2019 10:35:50|angry bonds|Хотел написать про Газпром, но меня опередили . Впрочем, я не жалею  изложено лучше с подробностями и пояснениями
11|23.12.2019 16:19:39|angry bonds|Про рейтинги Начало про тренды 2020 года тут и тут . Это называется доигрались  с октября 2020 года Биржа планирует ввести сплошное рейтингование. Давайте начнём готовиться. При наступлении каждого нового кризиса принято в этом обвинять рейтинговые агентства  недосмотрели, переоценили, упустили. Но при этом альтернативы рейтингам всё равно нет  рынку нужна независимая аналитика. Да, косая, кривая, но она независимая, а это важно. Рынок ВДО  несовершенный, на нем мало информации для принятия решений, а у частных инвесторов к тому же не хватает знаний и опыта для этого. Для частного инвестора все эмитенты ВДО одинаковы. Решение о покупке они принимают по принципу нравитсяне нравится. При этом ставки купонов не отражают риски по разным облигациям. Наличие рейтингов наконец позволит структурировать рынок ВДО. Все инвесторы получат независимый ориентир  рейтинговую шкалу, а эмитенты новую строку расходов. В сентябре 2019 года Банк России аккредитовал еще два рейтинговых агентства. Теперь полный список рейтинговых агентств выглядит таким образом  АКРА  Эксперт РА  НРА  НКР У эмитентов появился хороший выбор, чтобы заказать рейтинг по приемлемой цене. Цена за рейтинг для МСП будет находиться в диапазоне 4001000k с НДС в зависимости от размера эмитента и количества компаний в группе. В новом поставлении Правительства о субсидировании облигаций на 2020 год, возможно, будет отдельная строка по возмещению затрат на рейтинг. Но это не точно. Наличие рейтинга упрощает работу организаторов, Биржи и регулятора. Поэтому все игроки рынка ВДО могут только поприветствовать такое решение. Отрицатальным следствием введения сплошного рейтингования является рост расходов на размещение для эмитентов. Поэтому мы ожидаем рост среднего размера выпуска. Экономически нецелесообразно станет делать выпуски менее 100 млн руб. Наиболее оптимальным размещением станет объем 200 млн руб. Такой объем, с одной стороны, можно быстро разместить, а, с другой стороны, затраты на подготовку размещения будут относительно комфортными для эмитента. Важным следствием введения сплошного рейтингования должен стать выход на рынок ВДО институционалов  банков и ПИФов. Нам хочется верить, что Банк России даст им возможность приобретать ВДО без 100 резервирования при наличии рейтингов. Нам остается только надеятся, что рейтинговые агентства будут дорожить своей аккредитацией и не допустят фейлов по примеру Сибирского гостинца.
13|24.12.2019 13:12:42|angry bonds|Тесла не тонет Данный феномен в будущем, полагаю, включат во все учебники. Много существовало предпринимателей с довольно спорной идеей, но практически неограниченным денежным ресурсом, многим временно удавалось вводить в заблуждение инвесторов, но тут все это совпало удивительным образом
14|24.12.2019 13:12:42|angry bonds|Два разбитых окна кибертрака, смешные картинки, математические мемы  Тесла начала шкрябать 420 за акцию, уровень, на котором Маск в угаре грозился выкупить акции в свободном обращении. Илон тоже, похоже, немного удивлен.
