|time|user|text
3|15.11.2017 13:50:47|angry bonds|Пока выложим архивы. От сланца  к солнцу или штрихи к портрету современного грюндерства. Материал про сланцевую нефть и газ, а также про солнечную энергетику от декабря 2016 года. Повесть о том, как создаются инновационные грюндерские пузыри  http//docs.wixstatic.com/ugd/d5c739_91dce0b5c20c43068b894d892ce37b92.pdf
4|15.11.2017 13:55:43|angry bonds|Прогноз цен на нефть до 2040 года. Сделан в конце 2015 года, тогда цена еще не сходила на 27 долларов. Но в целом логика выдерживается. В частности, последний рост  это начало долгого восстановления, которое завершится в 20212022 году на уровне 7080 долларов. Выкладываю здесь чтобы удобнее было наблюдать далее. http//docs.wixstatic.com/ugd/d5c739_740026d74d9d49629280d749fdda61d5.pdf
5|15.11.2017 14:03:39|angry bonds|Росстат и его проделки. Можно ли верить официальным цифрам инфляции Ответ  можно, но осторожно. Подробности  тут http//docs.wixstatic.com/ugd/d5c739_53d27d5f3b4a4e979961f35f326a3da0.pdf
6|15.11.2017 14:49:55|angry bonds|Как всякий культурный человек, я сегодня не могу пройти мимо биткоина Но советовать покупать или продавать не стану. Тем не менее, некоторые интересные факты. Факт 1  Тюльпаномания https//dimon73.livejournal.com/82214.html подготовлено convoyinvestment.com  как видим биткоин вырос очень прилично, причем не только по нынешним меркам, но и погамбургскому счету. Более того, если считать рост с самого оснвоания, то тюльпановую лихорадку он уже обогнал. Факт 2  несмотря на периодические резкие падения народ в инструмент активно загоняют. Например, Майк Новограц вложивший в основание данной пирамиды около 100 млн. активно советует брать ещё  https//ttrcoin.com/mayknovogracsprihodominvesticionnyhfondovkursykriptovalyutpodnimutsyanamnogovyshe.1574/ . Да и не он один. По мне так это верный сигнал к тому, что пора выходить. Ибо никогда рынки не бывают столь оптимистичны как перед самым обвалом.
9|16.11.2017 11:42:17|angry bonds|Интересный прогноз по рынку московской недвижимости от IRN  http//www.irn.ru/articles/39948.html  Кому лень читать на графике все главное есть. Это означает огромные риски девелоперов и их бумаг
10|16.11.2017 11:55:24|angry bonds|В дополнение к предыдущему посту, Ключевые факторы ценового спада 1. Уже имеющийся навес из непроданых квартир, который составляет порядка 3 млн. кв.м. 2. Отмена долевого строительства в 2020 году, которая провоцирует девелоперов быстрее завершать уже начатые проекты  http//www.irn.ru/news/118304.html  3. И конечно же, реновация, которая в первоначальном своем виде, вообще грозила обрушить рынок навсегда  http//ktovkurse.com/rossiya/fuckingmadman , но даже в усеченной редакции вполне может вогнать его в ступор а Москву сделать просто непригодной для жизни. Так что спад  это надолго и из лишней то есть инвестиционной недвижимости лучше по возможности выходить Не говоря уже о ценных бумагах девелоперов.
11|16.11.2017 13:02:17|angry bonds|Поспорили с коллегой насчет Магнита. Саша утверждает, что самое страшное позади цель 770010 000 , я, как водится, придерживаюсь противоположного крайне пессимистичного мнения пойдем на 3500 . После бурной дискуссии и выдирания друг у друга волос внезапно решили, что если убрать ненормативную лексику, то получится вполне себе батл аналитиков. Аргументы сторон и в меру красивые картинки тут  http//tnocapital.com/p784
13|17.11.2017 11:44:18|angry bonds|О текущем моменте мгногабукв. У нынешнего этапа кризиса есть три основных аспекта 1. Внешний  ввиду частичного отката от глобализации падают экспортные возможности и, как следствие, требует демонтажа сырьевая сверхдержава хранящая финансы за бугром в общемто не столько от очарования этим самым забугром, сколько для того, чтобы не дотянулись шаловливые ручонки товарищей по портвейну. Это происходит не на уровне лозунгов, а на уровне управленческих механизмов. 2. Внутренний  демонтаж сырьевой сверхдержавы неизбежно требует перестройки системы гос. управления. Которая сопротивляется изо всех сил, вопервых, потому что не хочет да и кто когда хочет, а вовторых потому что не может. Ибо анти отбор 2000х свое дело сделал. Показательный пример из нынешней политической реальности по слухам, последние полгода за вотвот освобождающееся кресло премьера активно конкурируют Набиуллина, наворотившая дел в банковской системе и Собянин, наворотивший дел в Москве. Это и есть анти отбор  при прочих равных выбирают наихудших в профессиональном плане. Зато не боящихся ломать, да и вообще ничего не боящихся кроме начальства. Однако, если отвлечься от персоналий, гос. аппарат надо реформировать. Правда по уму следовало бы менять базовые принципы управления, начиная с закона о госслужбе вводя туда полную материальную ответственность для высших чиновников, чего даже отважным разрушителям пока что страшно. Но без коренных реформ это будет как с московской плиткой  бесконечная перекладка, суета, пыль столбом и пустая трата денег. 3. Совсем глубинный. Это ментальность предпринимательского сообщества. Эпоха высокой прибыли и дешевого обнала уходит безвозвратно. Также как и массового рейдерства. Рейдеры уже все мелкое и среднее подобрали и очередной передел будет совсем в верхах, наподобие конфликта Роснефти и АФК Системы. Собственно, реновация  это как раз последний крупный парад рейдеров. Отнять у населения последнее  неплохо звучит. Но как раз это может сделать социальный взрыв гораздо более реальным, нежели любая импортируемая демократия и цветная революция. Но не о реновации и революции сейчас. А о бизнесе и вообще деловом климате. Через 10 лет для предпринимателей тут все будет как в Европе  чистенько, но бедненько. Норма прибыли низкая, кредиты тоже рано или поздно подешевеют, но перспектив дернуть и сбежать будет в разы меньше. И по причине сохраняющегося низкого уровня жизни населения и по причине того, что оголодавшие рейдеры и бандиты будут оперативно обирать всех, кто чутьчуть поднял голову. При этом, расцветет демонстративная сторона у нас тоже будут свои попзвезды от бизнеса типа Илона Маска, Билла Гейтса и Уорена Баффета. Которых будут холить лелеять и пиарить. Но их будет мало по объективным причинам. А много будет как раз героев вчерашних дней Вопервых, это отошедшие от дел отставленные от кормушки миллионеры, вышедшие на пенсию топменеджеры монополий. У которых деньги ещё есть, но не так много, как раньше. И главное  нет былого задора. Они поначалу будут активно инвестировать, пока не проиграют капиталы сами, или это сделают их детивнуки. Вовторых, это строители и девелоперы. У которых наоборот, будут активы, но исчезнет возможность получать доходы в прежнем объеме. А то и просто хоть чтото получать или продать без убытка. Втретьих, это просравшие всё полимеры банкиры. С реструктурированными пассивами на 2030 лет вроде живые, но на капельнице. Со степенью свободы как раз на расстояние соединительного канала от колбы до катетера. В общем жить мы будем, никто массово не помрет, но атмосфера обещает быть весьма нервной. В этой связи очень важно понимать куда можно вкладываться и какие на сей счет есть риски. Мы тут посовещались и решили сделать серию материалов в формате баттлааналитиков. Магнит уже был предъявлен вчера. На очереди ВТБ, Газпром и далее со всеми остановками. По готовности буду выкладывать
15|18.11.2017 19:19:05|angry bonds|Пришла новость по ПИКу https//www.rospres.org/hearsay/22736/ . Несмотря на специфичность опубликовавшего её ресурса, обратить внимание все же стоит. Особенно в части того, что нынешнему владельцу ПИКа пришлось выплатить приличную сумму вышедшим из бизнеса Мамуту и Шишханову последнему деньги понадобились скорее всего в связи с проблемами в БИНбанке. Таким образом, в и без того специфичный строительный бизнес пришли дополнительные неприятности. В статье справедливо указывается, что примерно также начиналась коллизия с другим строительным монстром СУ155. Что все это означает для инвестора У ПИКа есть 10 выпусков облигаций  http//bonds.finam.ru/issue/details01B4A00007/default.asp  со сроками погашения в 20222026 годах и офертами по нескольким выпускам в 2018 году. Бумаги эти с высоким купоном и сейчас они торгуются выше номинала. Кроме того недавно SampP изменило прогноз по рейтингам ПИКа с негативного на стабльный, оставив ступень В. Итого, есть основания полагать, что бонды ПИКа на хаях и из них лучше потихоньку начинать выходить. Потому что в случае обострения проблем у компании цена точно упадет, да и оферты могут перенести имея в виду что в выпусках наверняка сидит много банков и прочего крупняка и потому набрать на ОСВО 75 за отмену оферты труда, скорее всего, не составит. При всем том ПИК в 2009 году уже проводил реструктуризацию долгов, как себя вести в подобной ситуации знает. Поэтому до банкротства дело скорее всего не доведёт. Но любителям острых ощущений можно будет перезайти в случае выхода плохих новостей. Хотя я лично воздержусь. Мне в свое время хватило приключений с СУ155
17|20.11.2017 13:03:17|angry bonds|Итак, готов анализ по ВТБ http//tnocapital.com/p791 Баттл, правда, получился какойто вегетарианский  оба оппонента считают, что акции будут расти, просто Миша уверен, что рост будет бурный как в свое время в Сбере, а Саша как настоящая барышня ведет себя поскоромнее. Я в данном случае согласен с Александрой и вот почему. ВТБ изначально являлся, как бы это помягче выразиться, местом хранения разных странных и ненужных активов, да часто и не активов вовсе. Он, например, был оператором по обслуживанию облигаций Внешэкономбанка СССР до создания нового ВЭБа в 2007 году. Ну и исполнителем разного рода госзаданий  спасения Банка Москвы, инвестиций в Украину в данном случае именно не на а в и т.д. и т.п. Поэтому его деятельность можно сравнить со Всемирным банком EBRD. Он конечно называется банк, но не вполне им является, если мы говорим о классическом понимании термина. Оттого и многочисленные странности, к которых у коллег неоднократно писалось навскидку, https//t.me/finkrolik/1647  и кризис ликвидности, на который в общем никто старается не обращать внимания  https//t.me/bankomafia/94  и прочее и прочее. В этой связи можно сформулировать два основных тезиса 1 ВТБ никогда не умрет 2 Вместе с тем, его бизнес никогда не будет нормальным. Даже если менеджмент выправит ситуацию, ему оперативно напихают ещё говна в портфель, благо есть простор в этом смысле сейчас ЦБ парутройку лет поиграется с порушенным Московским кольцом, поймет, что сделать ничего не может и того гляди сольет. Но до этого пока ещё далеко. А на повестке дня котировки. Сейчас ВТБ почти на дне  к помирающему туловищу оперативно пришивают живые органы в виде присоединяемого ВТБ24, потом подкачают кредитами от ЦБ. И на фоне общего оживления делового цикла надо признать, что мы нехотя, но таки вползаем в циклический подъем, года на три с половиной минимум этого будет вполне достаточно для роста. Осторожный инвестор может попробовать дождаться 3,54 копеек и покупать там.
