|time|user|text
1|19.10.2019 16:58:10|Andrey Hohrin|возможно, пришло время запускать обеспеченные облигации.
3|19.10.2019 17:03:37|А что ты сделал для котэ!?|Лучшего способа угробить облигационный рынок сложно придумать
4|19.10.2019 17:05:09|Paul Baikov|Это простите как А ООО, которые тоже сейчас имеют возможность выпускать облигации
5|19.10.2019 17:05:27|Aleksandr|За ВТБ кто подпишется Путин
6|19.10.2019 17:05:29|Dmitry Manzor|Общество с ограниченной ответственностью на то так и называются
7|19.10.2019 17:06:14|А что ты сделал для котэ!?|А если у компании несколько акционеров, часть из которых не принимают участия в бизнесе Про поручительство топов вообще смешно  каким идиомом нужно быть, чтобы дать такое поручительство
9|19.10.2019 17:08:37|Антон|Весь фр это инвестиции в чужой бизнесс
10|19.10.2019 17:08:56|Andrey Hohrin|мысли правильные. я смотрю на банковскую практику. так поручительства есть. но опять же, с радостью никто из эмитентов не пойдет на этот шаг.
11|19.10.2019 17:12:12|А что ты сделал для котэ!?|Поручительства перед банками  только у небольших бизнесов или бизнесов с плохими финансами Может быть для ВДО это приемлемо  если говорить про поручительство единоличного собственника Поручительство топов ... да ладно 
12|19.10.2019 17:15:10|Alexander Peshkov CEO TEHNOLEASING|Когда наша компания выходила с первым выпуском, то мы думали, как поручительство собственника можно вписать в условия ... оказывается никак.
13|19.10.2019 17:15:56|А что ты сделал для котэ!?|В чем препятствие с юридической точки зрения
15|19.10.2019 17:17:01|Alexander Peshkov CEO TEHNOLEASING|с одной стороны это конечно ответственность , а с другой  компания регистрирует программу на несколько миллиардов. понятно, что у собственника таких средств нет. встаёт вопрос тогда какой смысл во всем этом 
18|19.10.2019 17:19:48|Andrey Hohrin|Поэтому я думаю над ответственностью организатора. Почти придумал
20|19.10.2019 17:20:22|А что ты сделал для котэ!?|Можно примеры таких поручительств со стороны собственников крупных компаний находящихся в хорошем финсостоянии
21|19.10.2019 17:22:42|Alexander Peshkov CEO TEHNOLEASING|клиентов нашей компании я конечно не раскрою. набрал в инете и вот первая ссылка https//pravo.ru/news/view/10803/
26|19.10.2019 17:27:32|А что ты сделал для котэ!?|Вы дважды не обратили внимание на уточнение находящихся в хорошем финсостоянии Так то и Гуцериев поручительство давал и владелец Су 155 Только флотский финансами у них был швах и деваться им было некуда Я очень удивлюсь, если собственник нормального крупного бизнеса с хорошим финсостоянием даст личное поручительство Ключевые слова крупного с хорошим финсостоянием
27|19.10.2019 17:33:08|К& Б:))🍷|Лучше подумать об отмене ОСВО. Или об ограничении вариантов рестракта, чтобы не случилось отрицательные  ставки по облигациям. И отмена безотзывных оферт не проходила. И замена облиг на фигню была запрещена....
28|19.10.2019 17:33:31|Alexander Peshkov CEO TEHNOLEASING|я на это обратил внимание. только уверенно не могу сказать о том или ином фин. положении компании. какое оно было в момент поручительства и какое стало потом. кроме того, крупные компании несут ещё и политические  риски , о которых тоже мы знать не можем. Ну и таким людям всегда есть куда деться 
29|19.10.2019 17:35:11|Ivan Z|Насчёт Магнита.. а почему его ктото покупал Ну упал он с хаев, но фундаментально это разве хорошая компания P/e выскоий, выше рынка, p/b больше единицы, значит есть куда падать ещё госвладелец, причем ВТБ, значит возможная неэффективность в управлении. Приличный долг, дивы не такие уж высокие, да и прибыль не растет. Почему он вырасти должен Какихто умопомрачительных планов нет по развитию и реальной их реализации. Вот если бы он ещё снизился, окончательно его бы заплетали, укатали до очевидной дешевости, тогда можно было бы о покупке подумать. Может я чтото не понимаю, конечно, но какие аргументы сейчас могут быть что магнит вырастет снова до 35004000 в ближайшей перспективе
30|19.10.2019 17:42:26|Andrey Hohrin|Это я слабо понимаю, если откровенно
32|19.10.2019 17:47:48|Aleksandr|Как будет реализовываться поручительство при смене собственника Ну решил крупный акционер продать долю к примеру . Или гендир компании поручился, займ на 5 лет , а ему через 3 года предложили карьерный рост в другом месте.
33|19.10.2019 17:48:06|К& Б:))🍷|Ничего сложного. Могу всеобъемлюще проконсультировать и подсказать ещё консультантов. Дело в том, что проблема острая. Без её решения ваши инициативы по ответственности эмитента или организатора не имеют смысла... Провели ОСВО и нет дефолта... То есть ответственность не наступает никогда
34|19.10.2019 17:50:24|Aleksandr|Ничего вы ребята нового не придумаете универсального и масштабируемого.Кроме уголовной ответственности за мошенюгу и исков за нарушение договоров .
35|19.10.2019 18:01:06|Dmitry Manzor|http//www.iccwbo.ru/upload/iblock/a5f/a5fa6c8e13ae7f476d0b0eabec335612.pdf
37|19.10.2019 18:20:33|Paul Baikov|Господа, а подскажите пожалуйста. Увидел тут список ВДО на банкиру СИнновБП1  планирую выйти после второго купона ПРЛиз 1Р3 МсбЛиз2Р02 ОАЭ БОП3 МясничБОП3 Роделен 1Р2 ПионЛизБП2 Насколько адекватные эмитенты Можете поругать когонибудь 
39|19.10.2019 18:23:52|Шура SiberianRanger|Нормальные эмитенты, всякой ссанины нет в списке
40|19.10.2019 18:31:03|會及Q及刄み會|Есть инновация....чем не нравится 
41|19.10.2019 18:34:54|Val Z_Sky|тоже понемногу набираю инновации, мясничий и оаэ
42|19.10.2019 18:35:49|Paul Baikov|Спасибо. Инновация не нравится офертой летом 20 года
43|19.10.2019 18:36:12|Val Z_Sky|ну так всегда можно продать
45|19.10.2019 18:36:32|Paul Baikov|Я как и тот постер предпочитаю ежемесячные купоны с ВДО 
47|19.10.2019 18:37:25|Val Z_Sky|мясничий вроде как каждый месяц
48|19.10.2019 18:38:06|Paul Baikov|Ага, вот этим список и понравился, все кроме первого  месячные
51|19.10.2019 18:41:07|Georg|А какая там оферта 
52|19.10.2019 18:43:28|Paul Baikov|Дата ближайшей оферты 06.07.2020 с rusbonds. не очень разбираюсь, простите
54|19.10.2019 18:47:01|Georg|Там вроде только на досрочное погашение можно подать, купон не должен измениться... поправьте если не прав
55|19.10.2019 18:50:13|Paul Baikov|Тоже интересно. 15 всетаки, и производство, а не лизинг, как большинство остальных.
56|19.10.2019 19:04:40|Harry Lime|Купон по СИнновациям будет изменен после оферты с большой вероятностью
57|19.10.2019 19:05:11|Georg|Ясно... спасибо
58|19.10.2019 19:06:03|Harry Lime|Есть аффилированная компания СуперОкс там 15 фикс на 3 года
59|19.10.2019 19:44:28|Sereja|Суперокс Вавилова из финэкс Вавилова
60|19.10.2019 19:44:50|Paul Baikov|Гарантии те же СИннов вроде бы ООО с 10к УК
61|19.10.2019 19:45:11|Harry Lime|Это один тефлоновый Вавилов
62|19.10.2019 19:45:25|Paul Baikov|У Суперокс в смысле
63|19.10.2019 19:45:51|Sereja|Это как в напёрстки играть на вокзале. 15 на три года.
64|19.10.2019 19:46:24|Harry Lime|Как и почти во всех облигах ВДО
65|19.10.2019 19:46:46|Oleg Egorov|...у кого хорощий зрений  получает денежный премий 
67|19.10.2019 19:48:30|Sereja|Бизнес лизинга, Агро, розницы, производства  я понимаю. Не очень понимаю, откуда у легенды есть 14 годовых в займе под свайное поле, но 15 на три года под инновационные разработки Вавилову  это алЯ ммм
68|19.10.2019 19:48:43|Harry Lime|Если вы думаете что купон 12, 13,14 спасает от дефолта смею вас разочаровать
69|19.10.2019 19:50:21|Sereja|Не думаю, но в суперокс ссыкотно, простите за мой французский
70|19.10.2019 19:50:33|Harry Lime|Тут 15 , потому же , что и во многих выпусках с таким или большим купоном.
71|19.10.2019 19:51:53|Sereja|Ваша рекомендация купить rus28 мне больше нравится, чем суперокс
72|19.10.2019 19:52:44|Harry Lime|Ну я на нем не жениться собираюсь, а заработать , судьба его меня мало беспокоит
73|19.10.2019 19:54:54|Paul Baikov|С такой логикой я теперь понимаю, почему было написано про ранний выход из тех бумаг. И суперокс видимо туда же. Спасибо 
74|19.10.2019 19:55:10|Dmitry Manzor|Нам надо, чтобы эмитенты подольше жили. Облигации  это взаимовыгодно. Дешевле чем кредит в банке и мы подзаработаем.
75|19.10.2019 19:55:47|Paul Baikov|А про Эбис, кроме зачетного названия, не скажете чего
76|19.10.2019 19:56:08|Harry Lime|У нас разное понимание раннего выхода
77|19.10.2019 19:56:32|Alex|Все просто. Вавилов вкладывает капитал через займы, в том числе безпроцентные.
79|19.10.2019 20:01:01|Paul Baikov|Разумеется. Каждый сам определяет. Было интересно услышать мнение людей по поводу списка  я вроде услышал благодарен
80|19.10.2019 20:16:42|Максим Воробьев|Но конечно  мнение участников чата об эмитенте личного поручительства собственника заменить не может. 
82|19.10.2019 20:18:42|Sereja|Типа сам себе занял и не платит НДФЛ
84|19.10.2019 20:22:43|Alex|Там нет купонов. Это займы от собственника, займы ФРП и Сколково. Возникает ли материальная выгода при получении безпроцентные займов я не знаю. Таким образом хоть УК и 10к, но квазикапитал там больше.
85|19.10.2019 20:33:49|Harry Lime|За Эбисом слежу с весны 18 года , для меня эмитент с понятной бизнесмоделью , поэтому большая доля и до оферты точно.
86|19.10.2019 20:36:14|Paul Baikov|Спасибо
87|19.10.2019 20:37:59|Harry Lime|Отчетность ни одного эмитента нельзя оставлять без внимания , упала выручка , нет прибыли , выберите момент и продайте , ловить там будет нечего по итогу. Вот и весь секрет.
88|19.10.2019 20:41:25|Paul Baikov|Гдето читал  если бумаги падают больше нескольких процентов, а ты не понимаешь почему  стоит продавать. И можно в детали бизнеса не вдаваться даже.
90|19.10.2019 20:42:37|Serg|Проблема в том, что падение может быть разным... можно и не успеть продать. Так что приглядывать за отчетностью все же нужно
91|19.10.2019 20:45:14|Paul Baikov|Отчетность раз в квартал в идеале, безусловно если есть время стоит смотреть. А за бумагами стоит смотреть хотя бы раз в неделю, по моему мнению Сам каждый день смотрю
92|19.10.2019 20:46:22|Dmitry Manzor|Прибыль могут и не показывать, чтобы лишний налог не платить, а вот падение выручки и высокая себестоимость продаж это уже звоночек, как я скромно думаю
93|19.10.2019 20:46:57|Harry Lime|Это справедливо для компаний , не имеющих банковского финансирования , см Кармани
94|19.10.2019 20:47:21|Paul Baikov|А ДД
96|19.10.2019 20:48:15|Harry Lime|Да рассинхрон роста долговой нагрузки и выручки это приговор . Долг увеличивается , выручка не растет , конторе кранты  классика СТТ.
99|19.10.2019 20:51:33|Dmitry Manzor|назовём его  крест СТТ и ДД
100|19.10.2019 20:52:13|Harry Lime|И лизинг и МФО и производитель могут оказаться ширмой и аферой.
101|19.10.2019 20:53:00|Paul Baikov|АО МММ
102|19.10.2019 20:53:28|Harry Lime|ДД  ярчайший пример
103|19.10.2019 20:54:06|Paul Baikov|И гостинец хотя там вроде чтото делают сейчас..
105|19.10.2019 20:54:38|Harry Lime|Гостинец мертв , возвратноль
106|19.10.2019 20:55:08|Paul Baikov|Чтото же в акции конвертировали Но я не сильно следил, благо не вкладывался
107|19.10.2019 20:55:32|Harry Lime|Цена акций по факту ноль
108|19.10.2019 20:57:27|Paul Baikov|Угу. Пара странных строений из пассивов.. Но выпуском некой продукции в черных пакетах уже хвалятся
109|19.10.2019 20:57:51|Vallery|Извините, а где смотреть отчетность
111|19.10.2019 20:58:17|Harry Lime|На официальном сайте раскрытия edisclosure
112|19.10.2019 20:58:26|Paul Baikov|http//www.edisclosure.ru/
113|19.10.2019 20:58:35|Vallery|Благодарю
114|19.10.2019 20:59:03|А что ты сделал для котэ!?|Послать на дискложу 
115|19.10.2019 20:59:09|Vallery|А то я набрала и эбиса и ределена и окоса, и вот жду и думаю 
116|19.10.2019 20:59:28|Harry Lime|Настройте бота в телеграме , будет слать сущфакты
117|19.10.2019 21:00:26|Vallery|Блин, как его настроить Я новичок... 
118|19.10.2019 21:00:46|Paul Baikov|О а есть гайд какойнибудь Тоже интересно
119|19.10.2019 21:01:00|Harry Lime|Билл Гейтс сказал , что люди склонны переоценивать изменения за два года и недооценивать за 10 лет. К облигациям это применимо с моей точки зрения так  за полгода не крякнет , а за год полтора очень даже может.
121|19.10.2019 21:01:27|Paul Baikov|А то каждый день смартлаб и прочее смотрю
122|19.10.2019 21:01:57|Harry Lime|FlashTraderNews4Bot
123|19.10.2019 21:01:58|Vallery|Согласна
124|19.10.2019 21:02:37|Paul Baikov|Спасибо
125|19.10.2019 21:04:41|Vallery|Спасибо
126|19.10.2019 21:13:51|Alex|Ого. Вредные советы продолжают распространяться через глухой телефон.
127|19.10.2019 21:18:36|Paul Baikov|Почему вредные Вроде логично кажется, это же не акции
128|19.10.2019 21:19:20|Harry Lime|Особо ретивые и продвинутые наказываются вылетом по стоп лоссу по 95 при проливах
