|time|user|text
2|06.12.2018 11:15:16|Alexandra Berdanova|Друзья Предлагаем вам в режиме реального времени ознакомиться и обсудить вопросы, которые обсуждаются сейчас на Облигационном конгрессе в СанктПетербурге
3|06.12.2018 11:24:58|Dmitry Aleksandrov|На конференции, и в в выступлениях, и в кулуарах, очень много говорят про Китай. Минфин говорит о необходимости развития отношений, Эксперт подтверждает. Ждём инвестиций в юанях
4|06.12.2018 11:25:02|Alexandra Berdanova|Один из самых важных вопросов сегодня  стратегия развития облигационного рынка от ЦБР
10|06.12.2018 11:31:04|Alexandra Berdanova|По итогам двух лет был представлен график развития облигационного рынка
13|06.12.2018 11:41:54|Dmitry Aleksandrov|Кирилл Тремасов более известный как основатель канала MMI Кризиса в США не ждём
15|06.12.2018 11:47:49|Alexandra Berdanova|Облигации малых выпусков  тенденция 2018
16|06.12.2018 11:56:11|Dmitry Aleksandrov|Валерий Вайсберг Следующий год будет экономически сложным, есть риск стагфляции. Но пока бюджет железобетонный, санкции  ограничительный фактор, но макроэкономически влияют слабо. Основная проблема  нервозность инвесторов и внутренние ограничения потребление снижается, доходы населения падают
22|06.12.2018 13:08:01|Dmitry Aleksandrov|А вот и оценки от Fitch
26|06.12.2018 13:11:08|Alexandra Berdanova|Итоги года Рынок растет Это безусловно не может не радовать
27|06.12.2018 13:19:58|Dmitry Aleksandrov|Коллеги, какие у вас есть вопросы к профессионалам рынка В течение двух дней сможем узнать мнения мастодонтов относительно всех интересующих вопросов
29|06.12.2018 14:02:04|Dmitry Aleksandrov|И снова результаты опроса
34|06.12.2018 15:58:19|Oleg Malakhov|Добрый день Почему Агрлэлита разместила одновременно два выпуска облигаций Как покупка обоих выпусков снизит риски инвестора
35|06.12.2018 16:09:43|Dmitry Aleksandrov|Это не снижает кредитного риска, но снижает риск ликвидности. В обоих стаканах будет работать маркетмейкер
36|06.12.2018 16:48:41|Дмитрий Михалев|всем привет
38|06.12.2018 17:34:34|Artem Artemov|Лучше телеграм каналы читай внимательно
39|06.12.2018 18:05:11|Dmitry Aleksandrov|В кулуарах много общались на две темы Китай и высокодоходные облигации. Газпромбанк, Совкомбанк, Сбербанк, Ренессанс  все отмечают рост и важность сектора. Но вместе с тем и боятся объемов работы. Действительно, зачем Росбанку размещать 100 миллионов рублей, когда он может разместить Роснефть на 70 млрд со схожими силовыми затратами. При этом страдает инвестор, так как предложение маленьких, но оттого не менее качественных эмитентов, объективно маленькое для российского рынка. Технологически такие выпуски сложны и только единицы за них берутся. Общий прогноз спрос на ВДО будет расти, а значит ставки будут снижаться. Сейчас лучшая ситуация, чтобы запрыгнуть в этот локомотив
40|06.12.2018 18:43:32|Dmitry Aleksandrov|Друзья, сейчас будет неформальное общение участников. С удовольствием задам мастодонтам рынка любые интересующие вопросы
41|06.12.2018 18:56:10|Владимир|Допуск на ваши биржи граждан других государств  Как например стран Таможенного Союза. Беларусь , Казахстан и т.д. Налогооблажения как для россиян. В Беларуси облигации Минфина , корпоративные облигации вообще не облагаются налогом резидент/нерезидент.
