|time|user|text
1|03.03.2020 11:45:13|"PRObonds | Иволга Капитал"|Друзья, напоминаем, что сегодня стартует 4дневная онлайнконференция по фондовому рынку, где выступят представители 16 инвестиционных телеграмканалов. Участие бесплатное, регистрация здесь . Важно зарегистрироваться нужно до 1800 по МCК, иначе ссылка на сегодняшний день не придет. Сегодня в рамках конференции в 2020 по МСК Андрей Хохрин выступит с темой Бум высокодоходных облигаций на Московской бирже  долгосрочный тренд или пузырь и рассмотрит следующие вопросы  Циклично ли развитие рынка мусорных/высокодоходных облигаций  Когда ждать дефолтных проблем  Как долго можно рассчитывать на 1317 годовых реальных доходностей Также у вас будет возможность посмотреть выступления наших коллег. Присоединяйтесь .
2|03.03.2020 19:00:07|"PRObonds | Иволга Капитал"|Если вы интересуетесь экономикой, читайте только настоящих профессионалов. https//t.me/russianmacro  канал MMI Research Team  команды Кирилла Тремасова, который более 20 лет проработал в инвестиционнобанковской сфере, а в 201517 гг. возглавлял департамент макроэкономического прогнозирования в Министерстве экономики РФ. Глубокая аналитика по макроэкономике и финансовым рынкам, написанная простым человеческим языком, с большим количеством понятных графиков и таблиц. Кроме того, наиболее важные новости и оперативные комментарии.
4|04.03.2020 09:35:19|"PRObonds | Иволга Капитал"|колумнистика повесткадня фрссша Если ктото скажет, что решение ФРС было ожидаемым  слукавит. Раньше срока заседание глав ФРС было намечено на 18 марта, сразу на 0,5. Супержест Насколько длительными будут последствия Скорее, длительными и серьезными. Денег стало в очередной раз и значительно больше. Негативного влияния на глобальную и американскую, в частности, экономику от китайского вируса пока никто просчитать не в силах. Но очевидно  эффект будет заметным. Продолжение https//www.probonds.ru/posts/301bumamonetarizma.html AndreyHohrin
5|04.03.2020 18:36:50|"PRObonds | Иволга Капитал"|Итак, сегодня второй день большой 4дневной онлайнконференции по фондовому рынку, где выступят представители 16 инвестиционных телеграмканалов. Участие бесплатное, регистрация здесь . Важно зарегистрироваться нужно до 1800 по Мск, иначе ссылка на сегодняшний день не придет. Есть возможность получить конференцию в записи. Получилось так, что старик Хохрин выступал вчера c продвинутым курсом по ВДО, а мы сегодня в 1900 будем вещать по базовой программе. Ну да что поделать тем кто не совсем понял, о чем вчера говорилось, оперативно разъясним Ну и помимо ВДО там будет много интересного. Вчера говорят в вэбинарной комнате всем места не хватило. Жмите принять участие .
6|04.03.2020 18:38:42|"PRObonds | Иволга Капитал"|Ходят слухи, что сегодня вольный стрелок Дмитрий Адамидов изрешетит того самого старика. Как идейного противника. Попкорн, регистрация и увлекательное наблюдение баталии.
8|05.03.2020 07:22:53|"PRObonds | Иволга Капитал"|probondsмонитор офз Удивительное рядом Сильнейшее за полтора года падение ОФЗ, состоявшееся на прошлой неделе, на новой неделе уже почти полностью компенсировано. Недооцениваем мы монетарные стимулы глобальной экономики. Денег много, и 2ное снижение индекса гособлигаций а это предполагает, что 10летки, например, в моменте упали в цене примерно на 4, выкуплено за пару дней. Коррекция такой амплитуды с мгновенным выходом из нее настраивает на продолжение бычьего движения в госбумагах. Центробанки мира готовы помочь.
9|05.03.2020 07:24:23|"PRObonds | Иволга Капитал"|probondsмонитор субфеды крупнейшиекорпорации В секторе облигаций субъектов федерации, как и на широком рынке корпоративных облигаций тоже как будто ничего и не было. Хотя в субфедах появилась, видимо, временная возможность купить хоть чтото с доходностями выше 7. В крупнейших корпоративных именах таких возможность, как и раньше, фактически, нет. В общем, и сами по себе, корпоративные бумаги падали не так серьезно, как государственные.
11|05.03.2020 07:25:13|"PRObonds | Иволга Капитал"|probondsмонитор вдо Высокодоходный сегмент возвращается к высоким доходностям Не то, что было полгода назад, но и отчаянный перегрев январяфевраля позади. 14ю ставку, правда, придется поискать. Однако в диапазоне 1213 вариантов множество. Высокодоходные облигации, несмотря на близкие сроки погашения, в конце февраля показали силу своей волатильности. Многие бумаги подешевели на 35 всего за 12 сессии. Отскок цен можно назвать сменой реакции страха реакцией жадности. Доходности коротких бумаг слишком зависимы от их цен. Падение ВДО и его компенсация настраивают на то, что в этом классе бумаг волатильность будет, но следить нужно не за ней, а за кредитным качеством бумаг. AndreyHohrin , Евгений Русаков
12|05.03.2020 08:05:14|"PRObonds | Иволга Капитал"|маленькиерадости 5 марта 2019 года, т.е. ровно год назад в налоговой было зарегистрировано ООО Иволга Капитал. Праздникпраздник
14|05.03.2020 15:54:55|"PRObonds | Иволга Капитал"|рейтинганалитиков В феврале рынок продолжил давать поводы для сомнений в необходимости прогнозировать его движения новостной фон менялся в течение каждой недели. Понимая это, аналитики неохотно делали прогнозы на долгий срок и осторожничали, давая более широкие коридоры цен по активам, а не конкретные значения. И в целом решение воздержаться от прогноза или дать широкий диапазон было правильное  точных прогнозов за месяц было не больше, чем в предыдущем. Рейтинг аналитиков. Февраль 2020 осторожность и неточность https//www.probonds.ru/posts/303reitinganalitikovfevral2020ostorozhnostinetochnost.html
