|time|user|text
2|02.08.2018 18:51:22|"PRObonds | Иволга Капитал"|Всем привет Начинаем вести канал. И продолжаем вести наш портфель.
3|02.08.2018 18:51:34|"PRObonds | Иволга Капитал"|Это то, что мы должны получить.
4|02.08.2018 18:52:30|"PRObonds | Иволга Капитал"|Состав портфеля на момент старта. Он и сейчас еще такой. Изменения грядут на следующей неделе.
5|02.08.2018 18:53:39|"PRObonds | Иволга Капитал"|И наиболее интересное вот как вел себя наш портфель первые 2 недели своей жизни. За эти 2 недели 0,7. А это 17 годовых
7|03.08.2018 16:38:17|"PRObonds | Иволга Капитал"|https//smartlab.ru/bonds/D0A2D09420D09CD18FD181D0BDD0B8D187D0B8D0B9/page1/ Один из эмитентов облигаций нашего портфеля ведет приличные дискусии в сети с инвесторами. Познавательно
8|03.08.2018 16:41:03|"PRObonds | Иволга Капитал"|http//forum.mfd.ru/forum/thread/id95633 Это еще один форум Мясничего, на сей раз на mfd.ru . Правда, не такой динамичный, как на смартлабе.
10|06.08.2018 18:38:51|"PRObonds | Иволга Капитал"|Выкладываем сюда ссылки на 3 вебинара, посвященных облигационному портфелю
11|06.08.2018 18:40:15|"PRObonds | Иволга Капитал"|https//www.youtube.com/watchvfViy7gVdg7A Часть Первая. 17 июля 2018. Запускаем портфель облигаци Говорим о том, что за имена в нем.
12|06.08.2018 18:42:32|"PRObonds | Иволга Капитал"|https//www.youtube.com/watchvMyMcoGC4vpI Часть Вторая. 19 июля 2018. В частности, о статистике дефолтов на российском рынке облигаций. А также  о ликвидности сектора малых облигационных выпусков.
13|06.08.2018 18:45:44|"PRObonds | Иволга Капитал"|https//youtu.be/yvm7pOD8iTQ И да, сразу Часть Четвертая. С Третьей частью техника подвела  Говорим об эмитенте. Обсуждаем злободневные вопросы.
14|06.08.2018 18:49:50|"PRObonds | Иволга Капитал"|Этот канал  о высокодоходных облигациях. И об облигациях  вообще. Вкладывайте деньги разумно и под хорошие ставки
15|06.08.2018 19:30:21|"PRObonds | Иволга Капитал"|А тем временем, на текущей неделе завершается размещение выпуска ITкомпании Ред Софт
16|06.08.2018 19:32:09|"PRObonds | Иволга Капитал"|Покупать облигации на первичном рынке не сложно. Звоните своему брокеру, сообщаете название бумаги, например, облигации Ред Софт, тип рынка  первичное размещение, код расчетов  Z0, И все. Бумаги покупаются по номиналу, номинал  1 000 р.
17|06.08.2018 19:35:19|"PRObonds | Иволга Капитал"|Вероятно, на этой неделе досрочно завершится и размещение облигаций Торгового дома Мясничий. На сегодня реализовано более 90 выпуска.
18|06.08.2018 19:43:25|"PRObonds | Иволга Капитал"|Чуть подробнее об эмитенте.
19|06.08.2018 19:46:19|"PRObonds | Иволга Капитал"|А также  о поручителе ОбъединениеАгроэлита. И слегка  о материнском холдинге Goldman Group
20|06.08.2018 20:19:13|"PRObonds | Иволга Капитал"|Динамика нашего портфеля облигаций. Имена все прежние. С 18 июля, доход с учетом комиссий  0,75, или 14 годовых. В расчете на 5 млн.р. инвестированного капитала  39 т.р. плюсом
22|07.08.2018 09:06:59|"PRObonds | Иволга Капитал"|Начинаем публикацию краткого обзора. Пока здесь только портфель. Очень скоро  информация о рынке.
